
2020-04-30 16:15:56,b'RT @EconomicTimes: #Vistara announced on Thursday temporary changes in its in-flight products and services to minimise the touch-points of\xe2\x80\xa6'
2020-04-30 16:15:00,b'#Vistara announced on Thursday temporary changes in its in-flight products and services to minimise the touch-point\xe2\x80\xa6 https://t.co/fq9G870AdH'
2020-04-30 15:37:43,b'#coronavirusindia Vistara said on Thursday temporary changes in its in-flight products and services to minimise the\xe2\x80\xa6 https://t.co/HMXKNDaGRw'
2020-04-30 15:36:10,b'COVID-19 Impact: Domestic air traffic falls 33% in March.\n\n#AirAsia #Airlines #Aviaton #CivilAviation #Coronavirus\xe2\x80\xa6 https://t.co/qY986489Cq'
2020-04-30 14:34:09,b'RT @travelobiz: COVID-19 impact: Vistara issues in-flight modifications.\n\n#Coronavirus #COVID19 #inflightmodifications #Inflightservices #T\xe2\x80\xa6'
2020-04-30 14:25:46,b'COVID-19 impact: Vistara issues in-flight modifications.\n\n#Coronavirus #COVID19 #inflightmodifications\xe2\x80\xa6 https://t.co/WkGchnesSF'
2020-04-30 12:32:06,b'RT @BhavyaSon1: Finally clicked this brand new bird. @vistara #B787 #DreamLiner flew in from #Bangalore this afternoon. Isn\xe2\x80\x99t she gorgeous?\xe2\x80\xa6'
2020-04-30 11:50:00,"b""RT @peoples_review: Not just lack of #ration or buses, some of the #MigrantWorkers are even suffering because they didn't get refund for fl\xe2\x80\xa6"""
2020-04-30 11:48:46,"b""Not just lack of #ration or buses, some of the #MigrantWorkers are even suffering because they didn't get refund fo\xe2\x80\xa6 https://t.co/wReQ2iQZNK"""
2020-04-30 11:01:26,b'#Vistara changes service protocols in preparation for service resumption after #CoVid19 Lockdown :\xe2\x80\xa6 https://t.co/nQMwgKgRJF'
2020-04-30 10:55:38,b'Full-service carrier #Vistara on Thursday said that it will introduce new temporary operating procedures to minimis\xe2\x80\xa6 https://t.co/z6MNq3Uqgy'
2020-04-30 10:39:35,b'RT @businessline: #Vistara announced temporary changes in its in-flight products and services to minimise the touchpoints of human contact\xe2\x80\xa6'
2020-04-30 10:37:10,b'Full-service carrier #Vistara on Thursday said that it will introduce new temporary operating procedures to minimis\xe2\x80\xa6 https://t.co/ztdSoWgDwO'
2020-04-30 10:32:56,b'RT @dna: #COVID19: #Vistara temporarily modifies in-flight services for post-lockdown operations\n\nhttps://t.co/tIgLsH6kBI'
2020-04-30 10:29:06,b'RT @dna: #COVID19: #Vistara temporarily modifies in-flight services for post-lockdown operations\n\nhttps://t.co/tIgLsH6kBI'
2020-04-30 10:25:32,b'#COVID19: #Vistara temporarily modifies in-flight services for post-lockdown operations\n\nhttps://t.co/tIgLsH6kBI'
2020-04-30 10:18:08,b'#Vistara #airlines issues inflight modifications to tackle #Coronavirus infection; Read full list\nhttps://t.co/lZzkAc2cZX'
2020-04-30 09:55:23,b'#Vistara changes service protocols in preparation for service resumption after #CoVid19 Lockdown :\xe2\x80\xa6 https://t.co/SHvaJ3ecY6'
2020-04-30 09:48:22,"b'#Vistara cabin crew will wear personal protective equipment (PPE), such as face masks and disposable gloves, at all\xe2\x80\xa6 https://t.co/gfcpUAY2Bj'"
2020-04-30 09:41:06,b'#Vistara announced temporary changes in its in-flight products and services to minimise the touchpoints of human co\xe2\x80\xa6 https://t.co/b7qa1A6j3Z'
2020-04-30 09:33:35,"b""RT @moneycontrolcom: #Vistara said it will minimise in-flight services and will make further changes in line with the govt's guidelines:\xe2\x80\xa6"""
2020-04-30 08:47:09,"b""RT @moneycontrolcom: #Vistara said it will minimise in-flight services and will make further changes in line with the govt's guidelines:\xe2\x80\xa6"""
2020-04-30 08:42:35,b'RT @TNIEBiz: #Vistara has announced temporary changes in its in-flight products and services to minimise human contact on board during the\xe2\x80\xa6'
2020-04-30 08:41:08,"b""RT @moneycontrolcom: #Vistara said it will minimise in-flight services and will make further changes in line with the govt's guidelines:\xe2\x80\xa6"""
2020-04-30 08:33:26,"b""#Vistara said it will minimise in-flight services and will make further changes in line with the govt's guidelines:\xe2\x80\xa6 https://t.co/xjHysfEPTc"""
